Total Adjustments to Net Income;SANI;INC;1460;1;-0.171;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Income Available to Com Excl ExtraOrd;CIAC;INC;1470;1;66.236;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Income Available to Com Incl ExtraOrd;XNIC;INC;1480;1;66.636;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Diluted Net Income;SDNI;INC;1530;1;66.636;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Diluted Weighted Average Shares;SDWS;INC;1540;2;58.79002;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Diluted EPS Excluding ExtraOrd Items;SDBF;INC;1550;3;1.12665;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Diluted Normalized EPS;VDES;INC;1770;3;1.12665;INC;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.009000
Cash & Equivalents;ACAE;BAL;20;1;46.077;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Cash and Short Term Investments;SCSI;BAL;40;1;46.077;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Accounts Receivable - Trade, Net;AACR;BAL;70;1;1.576;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Total Receivables, Net;ATRC;BAL;100;1;8.623;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Total Inventory;AITL;BAL;180;1;0.979;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Prepaid Expenses;APPY;BAL;190;1;4.982;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Other Current Assets, Total;SOCA;BAL;260;1;1115.604;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Total Current Assets;ATCA;BAL;270;1;1176.265;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Property/Plant/Equipment, Total - Gross;APTC;BAL;520;1;201.23;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Accumulated Depreciation, Total;ADEP;BAL;530;1;-53.525;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Property/Plant/Equipment, Total - Net;APPN;BAL;540;1;147.705;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Goodwill, Net;AGWI;BAL;570;1;51.889;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Intangibles, Net;AINT;BAL;600;1;0.958;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Other Long Term Assets, Total;SOLA;BAL;780;1;173.321;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Total Assets;ATOT;BAL;880;1;1550.138;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Accounts Payable;LAPB;BAL;890;1;6.49;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Accrued Expenses;LAEX;BAL;910;1;36.591;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Notes Payable/Short Term Debt;LSTD;BAL;1120;1;0.0;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Current Port. of  LT Debt/Capital Leases;LCLD;BAL;1130;1;0.888;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Other Current liabilities, Total;SOCL;BAL;1220;1;1096.183;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Total Current Liabilities;LTCL;BAL;1230;1;1140.152;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Long Term Debt;LLTD;BAL;1240;1;34.414;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Total Long Term Debt;LTTD;BAL;1260;1;34.414;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Total Debt;STLD;BAL;1270;1;35.302;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Deferred Income Tax;SBDT;BAL;1300;1;49.129;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Other Liabilities, Total;SLTL;BAL;1370;1;45.196;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Total Liabilities;LTLL;BAL;1380;1;1268.891;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Common Stock, Total;SCMS;BAL;1490;1;0.601;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Additional Paid-In Capital;QPIC;BAL;1500;1;161.809;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Retained Earnings (Accumulated Deficit);QRED;BAL;1510;1;258.525;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Treasury Stock - Common;QTSC;BAL;1520;1;-139.688;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Total Equity;QTLE;BAL;1600;1;281.247;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Total Liabilities & Shareholders' Equity;QTEL;BAL;1610;1;1550.138;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Total Common Shares Outstanding;QTCO;BAL;1660;2;57.78857;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Tangible Book Value per Share, Common Eq;STBP;BAL;1980;3;3.95234;BAL;PAYC;2018-08-06;Annual;RES;2018-03-31;10-Q;2018-05-03;2019-03-17 16:10:36.023000
Net Income/Starting Line;ONET;CAS;10;1;66.807;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Depreciation/Depletion;SDED;CAS;40;1;19.395;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Deferred Taxes;OBDT;CAS;90;1;-2.087;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Non-Cash Items;SNCI;CAS;170;1;40.252;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Cash Taxes Paid;SCTP;CAS;1050;1;18.332;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Cash Interest Paid;SCIP;CAS;1040;1;0.791;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Changes in Working Capital;SOCF;CAS;470;1;6.233;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Cash from Operating Activities;OTLO;CAS;480;1;130.6;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Capital Expenditures;SCEX;CAS;520;1;-59.389;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Other Investing Cash Flow Items, Total;SICF;CAS;670;1;-230.957;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Cash from Investing Activities;ITLI;CAS;680;1;-290.346;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Financing Cash Flow Items;SFCF;CAS;730;1;197.284;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Issuance (Retirement) of Stock, Net;FPSS;CAS;880;1;-56.88;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Issuance (Retirement) of Debt, Net;FPRD;CAS;970;1;5.261;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Cash from Financing Activities;FTLF;CAS;980;1;145.665;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Net Change in Cash;SNCC;CAS;1000;1;-14.081;CAS;PAYC;2018-08-06;Annual;UPD;2017-12-31;10-K;2018-02-15;2019-03-17 16:10:36.025000
Revenue;SREV;INC;100;1;329.141;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Total Revenue;RTLR;INC;310;1;329.141;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Cost of Revenue, Total;SCOR;INC;360;1;54.066;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Gross Profit;SGRP;INC;370;1;275.075;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Selling/General/Admin. Expenses, Total;SSGA;INC;550;1;188.304;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Research & Development;ERAD;INC;560;1;20.966;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Depreciation/Amortization;SDPR;INC;600;1;7.834;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Unusual Expense (Income);SUIE;INC;740;1;0.0;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Total Operating Expense;ETOE;INC;830;1;271.17;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Operating Income;SOPI;INC;840;1;57.971;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Interest Inc.(Exp.),Net-Non-Op., Total;SNIN;INC;911;1;-1.036;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Other, Net;SONT;INC;1270;1;0.308;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Net Income Before Taxes;EIBT;INC;1280;1;57.243;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Provision for Income Taxes;TTAX;INC;1290;1;13.403;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Net Income After Taxes;TIAT;INC;1300;1;43.84;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Net Income Before Extra. Items;NIBX;INC;1340;1;43.84;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Net Income;NINC;INC;1400;1;43.84;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Total Adjustments to Net Income;SANI;INC;1460;1;-0.333;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Income Available to Com Excl ExtraOrd;CIAC;INC;1470;1;43.507;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Income Available to Com Incl ExtraOrd;XNIC;INC;1480;1;43.507;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Diluted Net Income;SDNI;INC;1530;1;43.507;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Diluted Weighted Average Shares;SDWS;INC;1540;2;58.9681;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Diluted EPS Excluding ExtraOrd Items;SDBF;INC;1550;3;0.73781;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
DPS - Common Stock Primary Issue;DDPS1;INC;1570;3;0.0;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Diluted Normalized EPS;VDES;INC;1770;3;0.73781;INC;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.026000
Cash & Equivalents;ACAE;BAL;20;1;60.158;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Cash and Short Term Investments;SCSI;BAL;40;1;60.158;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Accounts Receivable - Trade, Net;AACR;BAL;70;1;1.339;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Total Receivables, Net;ATRC;BAL;100;1;2.031;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Total Inventory;AITL;BAL;180;1;0.675;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Prepaid Expenses;APPY;BAL;190;1;4.475;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Other Current Assets, Total;SOCA;BAL;260;1;858.244;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Total Current Assets;ATCA;BAL;270;1;925.583;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Property/Plant/Equipment, Total - Gross;APTC;BAL;520;1;132.681;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Accumulated Depreciation, Total;ADEP;BAL;530;1;-35.833;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Property/Plant/Equipment, Total - Net;APPN;BAL;540;1;96.848;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Goodwill, Net;AGWI;BAL;570;1;51.889;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Intangibles, Net;AINT;BAL;600;1;1.871;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Other Long Term Assets, Total;SOLA;BAL;780;1;2.422;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Total Assets;ATOT;BAL;880;1;1078.613;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Accounts Payable;LAPB;BAL;890;1;3.737;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Accrued Expenses;LAEX;BAL;910;1;30.57;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Notes Payable/Short Term Debt;LSTD;BAL;1120;1;0.0;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Current Port. of  LT Debt/Capital Leases;LCLD;BAL;1130;1;1.113;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Other Current liabilities, Total;SOCL;BAL;1220;1;863.474;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Total Current Liabilities;LTCL;BAL;1230;1;898.894;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Long Term Debt;LLTD;BAL;1240;1;28.711;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Total Long Term Debt;LTTD;BAL;1260;1;28.711;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Total Debt;STLD;BAL;1270;1;29.824;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Deferred Income Tax;SBDT;BAL;1300;1;0.0;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Other Liabilities, Total;SLTL;BAL;1370;1;34.481;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Total Liabilities;LTLL;BAL;1380;1;962.086;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Common Stock, Total;SCMS;BAL;1490;1;0.585;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Additional Paid-In Capital;QPIC;BAL;1500;1;95.452;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Retained Earnings (Accumulated Deficit);QRED;BAL;1510;1;70.448;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Treasury Stock - Common;QTSC;BAL;1520;1;-49.958;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Total Equity;QTLE;BAL;1600;1;116.527;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Total Liabilities & Shareholders' Equity;QTEL;BAL;1610;1;1078.613;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Total Common Shares Outstanding;QTCO;BAL;1660;2;57.33102;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Tangible Book Value per Share, Common Eq;STBP;BAL;1980;3;1.09482;BAL;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.027000
Net Income/Starting Line;ONET;CAS;10;1;43.84;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Depreciation/Depletion;SDED;CAS;40;1;13.632;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Deferred Taxes;OBDT;CAS;90;1;-1.848;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Non-Cash Items;SNCI;CAS;170;1;22.531;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Cash Taxes Paid;SCTP;CAS;1050;1;9.323;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Cash Interest Paid;SCIP;CAS;1040;1;0.938;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Changes in Working Capital;SOCF;CAS;470;1;20.798;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Cash from Operating Activities;OTLO;CAS;480;1;98.953;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Capital Expenditures;SCEX;CAS;520;1;-43.805;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Other Investing Cash Flow Items, Total;SICF;CAS;670;1;-161.246;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Cash from Investing Activities;ITLI;CAS;680;1;-205.051;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Financing Cash Flow Items;SFCF;CAS;730;1;147.145;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Issuance (Retirement) of Stock, Net;FPSS;CAS;880;1;-35.561;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Issuance (Retirement) of Debt, Net;FPRD;CAS;970;1;3.958;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Cash from Financing Activities;FTLF;CAS;980;1;115.542;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Net Change in Cash;SNCC;CAS;1000;1;9.444;CAS;PAYC;2018-08-06;Annual;UPD;2016-12-31;10-K;2017-02-21;2019-03-17 16:10:36.028000
Revenue;SREV;INC;100;1;224.653;INC;PAYC;2018-08-06;Annual;UPD;2015-12-31;10-K;2016-02-22;2019-03-17 16:10:36.029000
Total Revenue;RTLR;INC;310;1;224.653;INC;PAYC;2018-08-06;Annual;UPD;2015-12-31;10-K;2016-02-22;2019-03-17 16:10:36.029000
Cost of Revenue, Total;SCOR;INC;360;1;35.473;INC;PAYC;2018-08-06;Annual;UPD;2015-12-31;10-K;2016-02-22;2019-03-17 16:10:36.029000
Gross Profit;SGRP;INC;370;1;189.18;INC;PAYC;2018-08-06;Annual;UPD;2015-12-31;10-K;2016-02-22;2019-03-17 16:10:36.029000
Selling/General/Admin. Expenses, Total;SSGA;INC;550;1;140.38;INC;PAYC;2018-08-06;Annual;UPD;2015-12-31;10-K;2016-02-22;2019-03-17 16:10:36.029000
Research & Development;ERAD;INC;560;1;8.627;INC;PAYC;2018-08-06;Annual;UPD;2015-12-31;10-K;2016-02-22;2019-03-17 16:10:36.029000
Depreciation/Amortization;SDPR;INC;600;1;5.738;INC;PAYC;2018-08-06;Annual;UPD;2015-12-31;10-K;2016-02-22;2019-03-17 16:10:36.029000
Unusual Expense (Income);SUIE;INC;740;1;0.0;INC;PAYC;2018-08-06;Annual;UPD;2015-12-31;10-K;2016-02-22;2019-03-17 16:10:36.029000
Total Operating Expense;ETOE;INC;830;1;190.218;INC;PAYC;2018-08-06;Annual;UPD;2015-12-31;10-K;2016-02-22;2019-03-17 16:10:36.029000
Operating Income;SOPI;INC;840;1;34.435;INC;PAYC;2018-08-06;Annual;UPD;2015-12-31;10-K;2016-02-22;2019-03-17 16:10:36.029000
Interest Inc.(Exp.),Net-Non-Op., Total;SNIN;INC;911;1;-1.427;INC;PAYC;2018-08-06;Annual;UPD;2015-12-31;10-K;2016-02-22;2019-03-17 16:10:36.029000
